session_id,intent_actual,intent_predicted,disease_actual,disease_predicted,regional_success,task_completed,fallback_triggered,messages_per_session,csat_score,latency_ms
sess_61,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,2,3,383
sess_62,crop_advisory,weather_forecast,N/A,N/A,1,1,0,7,5,525
sess_63,disease_detection,disease_detection,healthy,healthy,1,1,0,10,5,365
sess_64,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,4,317
sess_65,weather_forecast,weather_forecast,N/A,N/A,1,1,0,7,5,422
sess_66,disease_detection,disease_detection,rust,rust,1,1,0,3,3,512
sess_67,crop_advisory,crop_advisory,N/A,N/A,1,0,0,1,5,436
sess_68,disease_detection,disease_detection,leaf_blight,leaf_blight,0,1,0,9,5,549
sess_69,market_prices,market_prices,N/A,N/A,1,1,0,8,4,415
sess_70,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,4,386
sess_71,disease_detection,disease_detection,healthy,healthy,1,1,0,5,4,404
sess_72,disease_detection,disease_detection,rust,rust,1,1,0,11,4,431
sess_73,crop_advisory,crop_advisory,N/A,N/A,1,1,1,4,5,418
sess_74,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,5,396
sess_75,crop_advisory,crop_advisory,N/A,N/A,1,1,1,9,5,282
sess_76,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,613
sess_77,disease_detection,disease_detection,healthy,healthy,1,1,0,4,5,455
sess_78,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,10,4,537
sess_79,disease_detection,disease_detection,rust,rust,1,1,0,7,5,420
sess_80,crop_advisory,crop_advisory,N/A,N/A,1,0,0,5,5,486
sess_81,crop_advisory,crop_advisory,N/A,N/A,1,0,0,3,2,379
sess_82,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,9,5,448
sess_83,disease_detection,disease_detection,healthy,healthy,1,1,0,5,5,462
sess_84,disease_detection,disease_detection,healthy,healthy,0,1,0,4,4,359
sess_85,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,4,319
sess_86,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,4,412
sess_87,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,299
sess_88,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,394
sess_89,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,3,509
sess_90,disease_detection,market_prices,leaf_blight,leaf_blight,0,1,0,6,5,332
sess_91,crop_advisory,crop_advisory,N/A,N/A,1,0,0,5,4,266
sess_92,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,468
sess_93,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,4,396
sess_94,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,5,311
sess_95,weather_forecast,weather_forecast,N/A,N/A,1,1,0,3,5,401
sess_96,weather_forecast,weather_forecast,N/A,N/A,1,1,0,9,5,401
sess_97,weather_forecast,weather_forecast,N/A,N/A,1,1,0,7,4,384
sess_98,disease_detection,disease_detection,healthy,healthy,1,0,0,2,1,454
sess_99,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,5,428
sess_100,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,4,483
sess_101,crop_advisory,crop_advisory,N/A,N/A,1,0,0,6,5,324
sess_102,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,3,3,530
sess_103,weather_forecast,weather_forecast,N/A,N/A,1,1,0,7,5,441
sess_104,market_prices,market_prices,N/A,N/A,1,1,0,4,5,354
sess_105,disease_detection,disease_detection,rust,rust,1,1,0,6,5,267
sess_106,weather_forecast,weather_forecast,N/A,N/A,1,1,0,2,5,369
sess_107,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,5,322
sess_108,disease_detection,disease_detection,healthy,healthy,1,1,0,3,5,362
sess_109,disease_detection,disease_detection,healthy,healthy,1,1,0,3,4,426
sess_110,disease_detection,market_prices,healthy,healthy,1,1,0,3,4,393
sess_111,disease_detection,disease_detection,rust,rust,1,1,0,4,5,402
sess_112,market_prices,market_prices,N/A,N/A,1,1,0,5,5,317
sess_113,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,4,333
sess_114,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,5,294
sess_115,crop_advisory,crop_advisory,N/A,N/A,1,1,0,2,5,552
sess_116,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,4,330
sess_117,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,5,5,526
sess_118,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,4,405
sess_119,weather_forecast,weather_forecast,N/A,N/A,1,1,0,8,4,566
sess_120,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,5,374
sess_121,crop_advisory,crop_advisory,N/A,N/A,1,1,0,1,4,345
sess_122,disease_detection,disease_detection,rust,rust,1,1,1,8,5,524
sess_123,disease_detection,disease_detection,healthy,healthy,1,1,0,7,4,453
sess_124,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,10,5,456
sess_125,weather_forecast,weather_forecast,N/A,N/A,1,0,0,3,4,429
sess_126,crop_advisory,crop_advisory,N/A,N/A,0,1,0,3,5,379
sess_127,crop_advisory,crop_advisory,N/A,N/A,0,1,0,7,4,381
sess_128,disease_detection,disease_detection,healthy,healthy,1,1,0,3,4,431
sess_129,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,5,360
sess_130,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,5,457
sess_131,disease_detection,disease_detection,rust,leaf_blight,1,1,0,3,4,317
sess_132,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,5,4,289
sess_133,disease_detection,disease_detection,healthy,healthy,1,1,0,5,4,551
sess_134,market_prices,market_prices,N/A,N/A,0,1,0,2,5,402
sess_135,disease_detection,disease_detection,rust,rust,1,0,0,8,4,488
sess_136,weather_forecast,weather_forecast,N/A,N/A,1,1,0,2,5,522
sess_137,crop_advisory,crop_advisory,N/A,N/A,1,1,0,8,4,410
sess_138,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,10,5,435
sess_139,market_prices,market_prices,N/A,N/A,1,1,0,6,3,491
sess_140,market_prices,market_prices,N/A,N/A,1,1,0,4,4,463
sess_141,disease_detection,disease_detection,rust,rust,1,1,0,5,3,395
sess_142,weather_forecast,weather_forecast,N/A,N/A,0,0,0,9,5,637
sess_143,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,5,308
sess_144,disease_detection,disease_detection,healthy,healthy,1,1,0,6,5,362
sess_145,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,5,4,422
sess_146,crop_advisory,crop_advisory,N/A,N/A,1,1,0,9,4,237
sess_147,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,5,405
sess_148,disease_detection,disease_detection,healthy,healthy,1,0,0,3,3,423
sess_149,disease_detection,disease_detection,leaf_blight,healthy,0,1,0,9,3,510
sess_150,market_prices,market_prices,N/A,N/A,1,0,0,4,5,400
sess_151,disease_detection,disease_detection,healthy,healthy,1,1,0,6,4,465
sess_152,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,7,4,310
sess_153,weather_forecast,weather_forecast,N/A,N/A,1,0,0,6,5,376
sess_154,market_prices,market_prices,N/A,N/A,1,0,0,6,3,473
sess_155,disease_detection,disease_detection,powdery_mildew,powdery_mildew,0,1,0,7,4,321
sess_156,crop_advisory,crop_advisory,N/A,N/A,0,0,0,3,4,446
sess_157,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,3,513
sess_158,disease_detection,disease_detection,healthy,healthy,1,1,0,9,3,545
sess_159,crop_advisory,crop_advisory,N/A,N/A,1,1,1,7,5,471
sess_160,disease_detection,disease_detection,rust,rust,1,1,0,10,5,503
sess_161,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,4,484
sess_162,crop_advisory,crop_advisory,N/A,N/A,1,0,0,5,4,522
sess_163,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,4,607
sess_164,disease_detection,disease_detection,rust,rust,1,1,0,1,5,456
sess_165,crop_advisory,crop_advisory,N/A,N/A,1,1,0,8,2,468
sess_166,disease_detection,disease_detection,healthy,healthy,1,0,0,2,1,412
sess_167,disease_detection,weather_forecast,healthy,healthy,1,1,0,3,2,465
sess_168,disease_detection,disease_detection,rust,rust,1,1,0,3,5,405
sess_169,weather_forecast,weather_forecast,N/A,N/A,1,1,0,9,4,432
sess_170,crop_advisory,crop_advisory,N/A,N/A,0,1,0,5,5,422
sess_171,disease_detection,disease_detection,rust,rust,1,1,0,5,5,596
sess_172,weather_forecast,weather_forecast,N/A,N/A,1,0,0,3,4,449
sess_173,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,4,499
sess_174,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,515
sess_175,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,5,492
sess_176,crop_advisory,crop_advisory,N/A,N/A,1,1,0,9,5,438
sess_177,disease_detection,disease_detection,rust,rust,1,1,0,3,1,286
sess_178,market_prices,market_prices,N/A,N/A,1,1,0,3,5,398
sess_179,disease_detection,disease_detection,healthy,healthy,1,1,0,3,4,406
sess_180,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,5,405
sess_181,disease_detection,disease_detection,rust,rust,1,0,0,9,5,345
sess_182,market_prices,market_prices,N/A,N/A,1,1,0,9,4,425
sess_183,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,5,370
sess_184,disease_detection,disease_detection,healthy,healthy,1,0,0,2,5,401
sess_185,crop_advisory,crop_advisory,N/A,N/A,1,1,0,2,5,395
sess_186,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,2,385
sess_187,weather_forecast,weather_forecast,N/A,N/A,1,1,0,3,4,399
sess_188,weather_forecast,weather_forecast,N/A,N/A,1,1,0,3,4,301
sess_189,disease_detection,disease_detection,rust,rust,1,0,0,4,5,405
sess_190,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,5,3,441
sess_191,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,417
sess_192,market_prices,market_prices,N/A,N/A,1,1,0,4,4,426
sess_193,crop_advisory,crop_advisory,N/A,N/A,1,1,0,8,5,476
sess_194,disease_detection,disease_detection,leaf_blight,healthy,0,1,0,8,4,347
sess_195,disease_detection,disease_detection,rust,rust,0,1,0,2,5,360
sess_196,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,303
sess_197,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,3,436
sess_198,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,3,432
sess_199,crop_advisory,crop_advisory,N/A,N/A,1,0,0,2,4,559
sess_200,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,476
sess_201,disease_detection,disease_detection,healthy,healthy,1,1,0,8,4,368
sess_202,disease_detection,disease_detection,rust,powdery_mildew,1,1,0,5,4,425
sess_203,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,4,355
sess_204,crop_advisory,crop_advisory,N/A,N/A,1,1,1,6,2,417
sess_205,disease_detection,disease_detection,rust,rust,1,1,0,5,5,446
sess_206,disease_detection,disease_detection,healthy,healthy,1,1,0,1,2,501
sess_207,crop_advisory,crop_advisory,N/A,N/A,0,1,0,2,5,468
sess_208,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,1,4,5,364
sess_209,disease_detection,disease_detection,healthy,healthy,1,1,0,3,5,447
sess_210,weather_forecast,weather_forecast,N/A,N/A,1,0,1,9,4,249
sess_211,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,4,399
sess_212,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,5,451
sess_213,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,7,4,569
sess_214,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,222
sess_215,disease_detection,disease_detection,healthy,healthy,1,0,0,7,4,563
sess_216,disease_detection,disease_detection,healthy,healthy,0,1,0,3,5,388
sess_217,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,1,503
sess_218,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,343
sess_219,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,4,397
sess_220,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,542
sess_221,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,5,449
sess_222,disease_detection,market_prices,powdery_mildew,powdery_mildew,1,1,0,5,4,414
sess_223,disease_detection,disease_detection,leaf_blight,leaf_blight,1,0,0,5,5,534
sess_224,disease_detection,disease_detection,healthy,healthy,1,1,0,7,4,470
sess_225,disease_detection,disease_detection,leaf_blight,healthy,1,1,0,5,3,502
sess_226,market_prices,market_prices,N/A,N/A,1,1,0,4,4,410
sess_227,disease_detection,disease_detection,rust,rust,0,0,0,7,5,386
sess_228,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,5,327
sess_229,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,4,405
sess_230,crop_advisory,crop_advisory,N/A,N/A,1,1,0,9,4,367
sess_231,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,5,362
sess_232,weather_forecast,weather_forecast,N/A,N/A,1,1,0,4,5,400
sess_233,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,5,470
sess_234,disease_detection,disease_detection,leaf_blight,leaf_blight,1,0,0,5,5,474
sess_235,crop_advisory,crop_advisory,N/A,N/A,0,1,0,7,5,361
sess_236,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,7,5,346
sess_237,disease_detection,disease_detection,rust,rust,1,1,0,5,3,340
sess_238,crop_advisory,crop_advisory,N/A,N/A,1,1,0,11,4,476
sess_239,disease_detection,disease_detection,rust,rust,1,1,0,6,5,420
sess_240,market_prices,market_prices,N/A,N/A,1,1,0,9,4,447
sess_241,market_prices,market_prices,N/A,N/A,1,1,0,5,5,415
sess_242,market_prices,market_prices,N/A,N/A,1,1,0,5,5,458
sess_243,disease_detection,market_prices,leaf_blight,leaf_blight,1,1,0,5,4,420
sess_244,disease_detection,disease_detection,rust,rust,1,1,0,7,5,485
sess_245,market_prices,weather_forecast,N/A,N/A,1,0,0,11,2,398
sess_246,weather_forecast,weather_forecast,N/A,N/A,1,0,0,6,4,490
sess_247,market_prices,market_prices,N/A,N/A,1,1,0,9,5,325
sess_248,market_prices,market_prices,N/A,N/A,1,1,0,7,5,506
sess_249,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,424
sess_250,disease_detection,disease_detection,rust,rust,1,1,0,6,5,460
sess_251,disease_detection,disease_detection,healthy,healthy,1,0,0,6,5,345
sess_252,crop_advisory,weather_forecast,N/A,N/A,0,0,0,10,4,457
sess_253,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,7,5,370
sess_254,disease_detection,disease_detection,healthy,healthy,1,1,0,8,4,430
sess_255,weather_forecast,weather_forecast,N/A,N/A,0,1,0,6,5,439
sess_256,market_prices,weather_forecast,N/A,N/A,1,1,0,3,3,478
sess_257,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,377
sess_258,weather_forecast,weather_forecast,N/A,N/A,0,1,0,4,4,458
sess_259,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,7,5,470
sess_260,crop_advisory,crop_advisory,N/A,N/A,0,1,0,5,3,469
sess_261,market_prices,market_prices,N/A,N/A,1,1,0,4,1,460
sess_262,disease_detection,disease_detection,rust,rust,1,1,0,7,5,435
sess_263,weather_forecast,weather_forecast,N/A,N/A,1,1,0,1,5,505
sess_264,crop_advisory,crop_advisory,N/A,N/A,0,1,0,6,4,256
sess_265,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,387
sess_266,crop_advisory,crop_advisory,N/A,N/A,0,1,0,5,4,479
sess_267,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,4,383
sess_268,disease_detection,disease_detection,rust,rust,1,0,0,5,5,419
sess_269,disease_detection,disease_detection,rust,rust,1,1,0,5,5,411
sess_270,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,4,376
sess_271,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,5,468
sess_272,crop_advisory,crop_advisory,N/A,N/A,1,0,0,4,3,460
sess_273,market_prices,market_prices,N/A,N/A,1,1,0,5,5,421
sess_274,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,4,461
sess_275,weather_forecast,weather_forecast,N/A,N/A,1,1,0,2,2,421
sess_276,crop_advisory,crop_advisory,N/A,N/A,1,1,0,2,4,447
sess_277,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,480
sess_278,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,417
sess_279,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,254
sess_280,crop_advisory,crop_advisory,N/A,N/A,1,0,0,3,4,235
sess_281,disease_detection,disease_detection,leaf_blight,leaf_blight,0,1,0,10,5,371
sess_282,disease_detection,disease_detection,rust,rust,1,1,0,2,4,463
sess_283,disease_detection,disease_detection,leaf_blight,leaf_blight,1,0,0,3,5,410
sess_284,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,5,272
sess_285,disease_detection,crop_advisory,rust,rust,1,1,0,11,5,481
sess_286,weather_forecast,weather_forecast,N/A,N/A,1,1,1,6,3,433
sess_287,weather_forecast,weather_forecast,N/A,N/A,1,1,0,8,3,407
sess_288,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,8,4,222
sess_289,weather_forecast,weather_forecast,N/A,N/A,1,0,0,4,5,349
sess_290,disease_detection,disease_detection,rust,rust,1,1,1,8,3,345
sess_291,disease_detection,disease_detection,rust,rust,1,1,0,4,5,483
sess_292,crop_advisory,crop_advisory,N/A,N/A,0,1,0,8,5,377
sess_293,disease_detection,disease_detection,healthy,healthy,1,1,0,3,4,395
sess_294,disease_detection,disease_detection,healthy,healthy,1,1,0,3,5,329
sess_295,weather_forecast,weather_forecast,N/A,N/A,1,1,0,2,4,344
sess_296,crop_advisory,crop_advisory,N/A,N/A,1,1,0,8,5,424
sess_297,disease_detection,disease_detection,healthy,healthy,1,1,0,3,4,514
sess_298,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,4,362
sess_299,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,4,446
sess_300,disease_detection,disease_detection,healthy,healthy,1,0,0,5,5,438
sess_301,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,4,351
sess_302,weather_forecast,weather_forecast,N/A,N/A,1,1,0,12,4,500
sess_303,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,585
sess_304,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,410
sess_305,market_prices,market_prices,N/A,N/A,1,1,0,7,3,296
sess_306,weather_forecast,weather_forecast,N/A,N/A,1,1,0,7,5,384
sess_307,disease_detection,disease_detection,rust,rust,1,0,0,7,3,449
sess_308,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,4,439
sess_309,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,1,395
sess_310,weather_forecast,weather_forecast,N/A,N/A,1,1,0,9,4,418
sess_311,disease_detection,disease_detection,rust,rust,1,1,0,6,4,452
sess_312,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,5,4,338
sess_313,market_prices,market_prices,N/A,N/A,1,1,0,5,5,271
sess_314,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,497
sess_315,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,4,506
sess_316,weather_forecast,weather_forecast,N/A,N/A,1,1,0,7,5,391
sess_317,disease_detection,disease_detection,rust,rust,1,1,0,4,5,443
sess_318,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,2,4,388
sess_319,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,3,519
sess_320,weather_forecast,weather_forecast,N/A,N/A,1,1,0,7,4,428
sess_321,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,543
sess_322,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,541
sess_323,disease_detection,disease_detection,healthy,healthy,1,1,0,3,4,422
sess_324,market_prices,market_prices,N/A,N/A,1,1,0,5,5,360
sess_325,crop_advisory,crop_advisory,N/A,N/A,1,1,1,1,5,563
sess_326,weather_forecast,weather_forecast,N/A,N/A,1,1,0,4,3,360
sess_327,crop_advisory,crop_advisory,N/A,N/A,0,1,0,2,5,551
sess_328,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,5,501
sess_329,disease_detection,disease_detection,rust,rust,1,1,0,7,4,398
sess_330,disease_detection,weather_forecast,healthy,healthy,1,1,0,2,5,409
sess_331,crop_advisory,crop_advisory,N/A,N/A,1,1,0,8,4,510
sess_332,disease_detection,disease_detection,leaf_blight,leaf_blight,1,0,0,7,4,363
sess_333,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,2,5,547
sess_334,disease_detection,disease_detection,rust,rust,1,0,0,5,5,474
sess_335,disease_detection,disease_detection,healthy,healthy,1,1,0,5,3,511
sess_336,crop_advisory,crop_advisory,N/A,N/A,1,0,0,5,4,364
sess_337,crop_advisory,crop_advisory,N/A,N/A,1,1,0,8,5,547
sess_338,weather_forecast,weather_forecast,N/A,N/A,1,1,1,6,5,291
sess_339,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,7,5,488
sess_340,weather_forecast,weather_forecast,N/A,N/A,1,1,0,4,4,483
sess_341,weather_forecast,weather_forecast,N/A,N/A,0,0,0,3,5,398
sess_342,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,5,452
sess_343,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,4,477
sess_344,disease_detection,disease_detection,healthy,rust,1,1,0,4,5,367
sess_345,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,3,282
sess_346,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,508
sess_347,disease_detection,disease_detection,healthy,healthy,1,1,0,8,3,441
sess_348,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,1,5,440
sess_349,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,294
sess_350,weather_forecast,weather_forecast,N/A,N/A,1,1,0,4,5,366
sess_351,crop_advisory,crop_advisory,N/A,N/A,1,1,0,2,5,507
sess_352,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,4,413
sess_353,disease_detection,disease_detection,healthy,healthy,1,1,0,3,2,425
sess_354,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,9,4,458
sess_355,crop_advisory,crop_advisory,N/A,N/A,1,0,0,2,5,559
sess_356,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,6,5,301
sess_357,weather_forecast,weather_forecast,N/A,N/A,1,0,0,10,5,382
sess_358,market_prices,market_prices,N/A,N/A,1,0,0,5,4,520
